id,source_id,sentence,label,human_label,notes
2800,1680,實地考察係所有教學的重要一部分。好多時候，先生會好樂意帶學生去啲搭巴士去唔到嘅地方。,1,,
2801,1680,實地旅行係任何教室嘅重要部分. 教師好常會帶學生去地方 坐巴士唔可以去的地方.,0,,
2736,1648,月殼正面大約70公里厚，背面大約100公里厚。,1,,
2737,1648,"皮質嘅厚度係近面約 70 公里,對面係 100 公里",0,,
2652,1605,喺呢種動態運輸系統之中，每個人都喺某程度上以私家車連結同支援運輸系統。,1,,
2653,1605,喺呢個動態嘅交通車 每個人都用某種方式 聯繫到 建立喺私人車嘅交通系統,0,,
2198,1282,之後，佢被轉到劍橋阿登布魯克醫院。,1,,
2199,1282,佢之後被搬到剑桥嘅阿登布魯克醫院,0,,
468,236,「佢會好似水咁樣運轉，就好似水一樣透明。,1,,
469,236,佢會好似水咁行事 佢就好似水咁透明,1,,
46,23,今日嘅最佳選手係華盛頓首都嘅亞歷克斯·奧韋奇金。,1,,
47,23,今日嘅最佳球員係華盛頓首都隊嘅 Alex Ovechkin,1,,
2266,1316,其他摔角手都向Luna致敬。,1,,
2267,1316,同者亦都向Luna致敬,0,,
1028,516,同其他靈長類動物唔同，原始人唔再用雙手移動、負重或穿梭樹叢。,1,,
1029,516,異於其他靈長類動物 類人猿唔再用手喺動車上 運重或者穿過樹木,0,,
2166,1266,死者分別係25歲嘅尼古拉斯·阿爾登同埋21歲嘅扎卡里·庫德貝克。庫德貝克曾經做過司機。,1,,
2167,1266,死亡者係25歲嘅尼古拉斯·阿爾登 同21歲嘅扎克里·卡德貝克,0,,
1916,960,如果你想跳過南太平洋同南美洲西海岸，呢班機並唔係唯一嘅選擇。（見下文）,1,,
1917,960,"如果您想跳過南太平洋同南美洲西海岸, 您只需乘坐呢架航班 (下面见)",1,,
2440,1403,諾曼第登陸戰同之後嘅戰役，解放咗法國北部，不過法國南部仲未解放。,1,,
2441,1403,D-Day嘅降落同接落嚟嘅戰爭 解放咗法國北部 但南部仍然冇自由,0,,
1562,783,野生動物攝影通常需要一個長焦鏡頭，不過好似一群雀鳥或一隻微細生物之類就需要其他鏡頭。,1,,
1563,783,野生動物攝影通常需要長遠鏡頭 雖然鳥群或者小生物需要其他鏡頭,0,,
1576,790,佢哋用獨特嘅口音同當地嘅黑話講家鄉故事，互相分享。,1,,
1577,790,佢哋將佢哋嘅故鄉嘅故事 傳達到唔同嘅口音同當地語法,0,,
260,132,洛杉磯警察局發言人基斯杜化·加西亞話，呢名男性疑犯正喺度接受私闖民宅調查，而唔係蓄意破壞嘅調查。,1,,
261,132,洛杉磯警察局發言人 Christopher Garcia 表示 被疑犯男子被調查為侵權而唔係破壞,0,,
2442,1404,佢由「維希」法國人統治。呢班法國人喺1940年同德國人講和，兼且同侵略者合作而唔係對抗佢哋。,1,,
2443,1404,"黎個國家由""維奇""法國人統治",0,,
2778,1669,安琪 (2006)解釋，連續法係一種用嚟幫助機構達到更高績效水平嘅方法。,1,,
2779,1669,"Angel (2006) 解釋 Continuum 方法係一種方法,可以幫助組織達到更高嘅表現水平.",1,,
654,329,期間，佢出場468次，攻入403球。,1,,
655,329,"喺佢同球隊一齊嘅時間,佢喺 468 場上打咗 403 球",0,,
626,315,Modern Education 指控佢未經授權，就喺巴士刊登大型廣告，仲謊稱自己係首席英文導師。,1,,
627,315,現代教育指控佢喺巴士上 冇許可咁打印廣告,0,,
448,226,大家之所以知道佢嘅存在，係因為佢對宇宙膨脹嘅影響。,1,,
449,226,佢存在嘅原因係佢對宇宙嘅擴張造成嘅影響,0,,
192,96,自上世紀 70 年代以嚟，伊爾-76 一直係俄羅斯同蘇聯軍隊嘅主力，上個月喺俄羅斯已經發生咗一宗嚴重事故。,1,,
193,96,伊-76 自 1970 年代開始 成為俄羅斯同蘇聯軍隊嘅重要部份,0,,
372,188,截至八月九號夜晚，莫拉克嘅風眼距離中國福建省大約七十公里。,1,,
373,188,"8月9日晚間,摩拉科特嘅眼睛距离中國福建省約70公里",0,,
