id,target,sentence1,sentence2,label
90,揈,一拳揈埋去。,你咁大力，畀你揈一拳得 嘅！,similar
47,禁,佢又畀屋企人禁足，冇得出街玩。,我寻晚犯咗门禁呀，阿爸今日唔比我出街，所以我今日嚟唔到啦，对唔住呀。,similar
340,掹,唔好掹住我个袋。,连咁细条嘅亦都要掹埋。,not_similar
287,摵,绑到松佊佊噉，一摵唔系散啰。,你唔好摵佢塊面啦！,not_similar
413,㷫,帮咗佢仲畀佢闹，系人都㷫啦！,俾啲牛油同埋哩個蠟燭㷫住嘅。,not_similar
501,咁,你一個人住喺香港呀？咁你有冇掛住屋企人啊？,妳幾時變到咁成熟㗎？,not_similar
7,㗎,噉你一日都係飲奶茶先返工㗎?,咪以為係拖板就插幾多嘢都得𠿪，會燒fuse㗎。,similar
123,咩,澳洲你都未去過咩？,美國餐有咩好食啫。,not_similar
160,細佬,细佬初初入行，以后请各位多多关照。,細佬咁夜都未返屋企，唔怪之得阿媽心掛掛啦！,not_similar
73,孭,呢个计划我孭嘅。,咁大隻鑊揾邊個孭啊？,similar
443,揈,一拳揈埋去。,我自己都唔知揈咗條鎖匙去邊。,not_similar
168,度,呢个壶斟满咗有五斤度啦。,噉而家去边度好呀？,not_similar
477,咁,佢就會剪到一層層咁樣。,咁呀，聽日先算囉。,not_similar
420,㷫,佢㷫起嚟一气唱咗十几只歌。,隻手冰凍，響火爐㷫下。,not_similar
124,咩,澳洲你都未去過咩？,嗰陣時好似有咩龍船啊。,not_similar
305,冧,慢慢冧吓佢，就会应承。,佢真系好易醉，饮多两杯啤酒就冧咗喇。,not_similar
163,冚,你冚住張氈都凍呀？,我自己儲，冚唪唥一路收返起晒。,not_similar
76,啹,頭先搬嘢又熱又攰，飲完杯嘢成個人啹晒！,爸爸锡咗佢两啖，佢个心都啹晒啦。,similar
490,咁,而家已经走咁啲人喇。,你一個人住喺香港呀？咁你有冇掛住屋企人啊？,not_similar
