id,source_id,sentence1,sentence2,label,human_label,notes
146,148,2008 年，北方搖滾銀行被國有化，因為公佈公司得到英國政府的緊急支援,喺北岩銀行得到英國政府嘅緊急支持之後，呢間公司喺 2008 年國有化,2,,
552,554,產品可以按需要購買，但大多數產品對表現嘅影響好細或者根本冇實際影響,需要買到嘅產品都可以買到但大部分產品對性能有很少或者冇任何真正影響,1,,
1400,1680,實地考察係所有教學的重要一部分。好多時候，先生會好樂意帶學生去啲搭巴士去唔到嘅地方,實地旅行係任何教室嘅重要部分。 教師好常會帶學生去地方坐巴士唔可以去的地方,1,,
817,819,當你旅遊嘅時候，唔使望一切都好似「返鄉下」噉。禮儀、法律、食物、交通、住宿、標準、語言等等都會喺某程度上同你住嘅地方唔同,"當你去旅行時，你會期望事情唔會好似你""返屋企""咁",1,,
1300,1483,"浪漫主義係文化決定主義嘅重要要素， 由 Goethe,Fichte,Schlegel 等作家所提取",浪漫主義有好大嘅文化決定論因素，從歌德、費希特同施萊格爾等作家身上可以推斷出嚟,2,,
224,226,大家之所以知道佢嘅存在，係因為佢對宇宙膨脹嘅影響,佢存在嘅原因係佢對宇宙嘅擴張造成嘅影響,1,,
1149,1332,美國聯邦航空局聲稱，NextGen系統可以縮短飛機航線，每年慳幾百萬加侖嘅燃料，同埋減少碳排放,NextGen係一個系統 FAA聲稱機機可以飛短路線節省每年幾百萬加燃料,1,,
775,777,多年嚟我哋用過好多唔同格式嘅菲林。標準35毫米菲林（36x24毫米負片）係最常見嘅,多年來，已經用過好多唔同嘅影像格式。標準 35mm影像 (36×24mm負) 係最常見嘅,1,,
1309,1492,到中世紀末期，西歐開始發展出自己嘅風格。當時最重大嘅發展嚟自十字軍，令大家都開始用衫鈕扣衫,歐洲西部開始發展自己嘅風格歷史上最大嘅發展之一係因為十字軍開始用按綁住衣服,1,,
1361,1641,悲哀嘅係，隨著新嘅寫法出現， 筆被推低,可悲嘅係，隨住新嘅書寫方法嘅出現，鉛筆嘅地位同用途都有所降低,2,,
1209,1392,希伯來人大部分生活都喺空中發生,大部分希伯來人嘅家庭生活，都喺戶外進行,2,,
1098,1281,佢最初喺大耶爾馬斯嘅詹姆斯佩格醫院入院,原先，佢喺大雅茅斯嘅詹姆士·佩吉特醫院留醫,2,,
735,737,公園服務 (MINAE) 預計抵達之前，唔需要超過一個月發出公園許可證,公園管理局（MINAE）唔會喺預計抵達日期前超過一個月簽發公園許可證,2,,
727,729,寶雲島係一個好受歡迎嘅一日遊或者週末短途遊打卡地，有皮划艇、遠足、商店同餐廳等,波文島係一個受歡迎嘅一日遊或週末遊覽提供渡輪，徒步旅行，商店，餐廳等,1,,
542,544,美國嘅計劃係從三個唔同嘅方向發動協同攻擊,美國計劃依賴於從三個不同方向發起編排嘅攻擊,1,,
283,285,拉脫維亞同斯洛伐克都延遲加入 ACTA 嘅進程,拉脱維亞同斯洛伐克都延遲加入 ACTA 過程,1,,
1266,1449,哩段時間，好多貴族爭奪王位,喺呢啲時期，好多爭奪皇位嘅貴族之間都發生咗激烈嘅戰爭,2,,
747,749,坐自己車去做漫長嘅公路旅行簡單性係個吸引力,坐上自己嘅車，出發去長途自駕遊，箇中嘅簡單體驗有內在嘅吸引力,2,,
13,13,拿度喺比賽入面嘅網前得分係88%，喺首個發球局贏得76分,Nadal 喺第一場比賽中獲得 88% 純點,1,,
1133,1316,其他摔角手都向Luna致敬,同者亦都向Luna致敬,1,,
1034,1217,國際制裁意味住唔可以買入新嘅飛機,國際制裁令新飛機買唔起,1,,
1287,1470,暴徒迫使王和女王放開車窗,呢班人強迫國王同王后將馬車嘅窗打開,2,,
88,88,當局除咗確認今日嘅拘捕行動，另外提供嘅官方資料唔多,官員官方除咗確認今日逮捕之外冇話得知,1,,
696,698,厄瓜多爾要求古巴公民喺國際機場或者邊境入境點入境之前收到邀請書,厄瓜多爾要求古巴公民收到邀請函之後先可以通過國際機場或邊境入境點入境厄瓜多爾,2,,
946,948,當你到达海灘之後，一切都會好明顯你會遇到其他船上乘坐車嘅人,請放心，你去到碼頭，一切都會清清楚楚。你會遇到其他搭順風船嘅人，佢哋會同你分享佢哋嘅情報,2,,
1330,1609,交通系統點解會引起咁多抱怨，點解每日都失敗？ 交通工程師係冇能力？ 或者有啲更基本嘅問題發生緊嗎,點解交通系統會招致噉嘅投訴，點解佢哋日日都會壞？交通工程師係咪唔稱職呢？定係因為有某啲更根本嘅問題,2,,
318,320,由嗰陣時起，中國嘅經濟規模增長咗九十倍,自從嗰時起，中國嘅經濟規模增加咗90倍,1,,
1221,1404,"黎個國家由""維奇""法國人統治",佢由「維希」法國人統治。呢班法國人喺1940年同德國人講和，兼且同侵略者合作而唔係對抗佢哋,2,,
51,51,今年 4 月，格林法官頒布咗一項針對呢個設施嘅臨時限制令，下令強制釋放還押超過 24 小時都冇接受法庭專員聆訊嘅人士,今年 4 月， 格林法官發出咗暫時停留令要求釋放被拘留者超過 24 小時之後冇接受法院委員審理,1,,
1326,1605,喺呢種動態運輸系統之中，每個人都喺某程度上以私家車連結同支援運輸系統,喺呢個動態嘅交通車每個人都用某種方式聯繫到建立喺私人車嘅交通系統,1,,
501,503,MySpace係美國第三大最受歡迎嘅網站，現時擁有5400萬用戶,MySpace 係美國第三大最受歡迎嘅網站目前有5400萬個網頁,1,,
1395,1675,雖然人工智能具有科學小說嘅強烈含義，但人工智能形成了電腦科學嘅一個非常重要的分支，處理機器中的行為，學習和智能適應,雖然人工智能有強烈嘅科幻小說意味，但係人工智能形成咗電腦科學嘅一個非常重要嘅分支，牽涉到機器中嘅行為、學習同智能適應,2,,
333,335,土耳其天后Sezen Aksu同意大利男高音Alessandro Safina、希臘歌手Haris Alexiou同台表演,土耳其女歌手Sezen Aksu 表演同意大利歌手Alessandro Safina同希臘歌手Haris Alexiou一齊,1,,
781,783,野生動物攝影通常需要一個長焦鏡頭，不過好似一群雀鳥或一隻微細生物之類就需要其他鏡頭,野生動物攝影通常需要長遠鏡頭雖然鳥群或者小生物需要其他鏡頭,1,,
1043,1226,波特羅當時接受咗肩部治療，諗住返到賽場繼續比賽,Potro 喺呢一刻接受咗肩部治療但佢返返去遊戲,1,,
130,132,洛杉磯警察局發言人基斯杜化·加西亞話，呢名男性疑犯正喺度接受私闖民宅調查，而唔係蓄意破壞嘅調查,洛杉磯警察局發言人 Christopher Garcia 表示被疑犯男子被調查為侵權而唔係破壞,1,,
1392,1672,長期以嚟，大家都知道唔同類型嘅腦損傷、創傷、病變同腫瘤會影響行為，並導致某啲心理功能發生變化,已經知道好耐以前腦部損傷，創傷，傷害同腫瘤嘅不同種類影響行為,1,,
1140,1323,奧林匹克金牌贏家應喺英國聯邦大賽 100 米， 200 米自由泳體，三次連續泳，但因為他的抱怨，他的健身已經受到疑惑,呢位奧運金牌得主本來應該喺英聯邦運動會參加100米同200米嘅自由泳，同埋三項接力賽，但因為佢嘅病情，令佢嘅健康狀況一直受到質疑,2,,
161,163,復仇者級嘅礦山反措施船， 該船正前往帕拉瓦納嘅波多普林塞薩,一艘復仇者級嘅反水雷艦正喺度駛向巴拉望省嘅普林塞薩港,2,,
689,691,參觀呢個地方可以好方便咁組合到去湖泊乘船,參觀呢個景點可以順便搭船遊湖,2,,
777,779,有啲中型影像相機用6x6cm格式，更準確地用56x56mm負,有啲中片幅菲林相機使用6x6厘米嘅格式，準確啲講係56x56毫米負片,2,,
1197,1380,我哋唔清楚但佢可能有叉舌頭佢嘅飲食包括魚，大魚，其他馬薩索爾甚至可能係食肉動物,我哋唔確定，但佢可能有條分叉嘅脷。佢食嘅嘢包括海龜、大型魚類、其他滄龍，甚至可能同類相殘,2,,
23,23,今日嘅最佳選手係華盛頓首都嘅亞歷克斯·奧韋奇金,今日嘅最佳球員係華盛頓首都隊嘅 Alex Ovechkin,1,,
393,395,不過，幾隻皇家海軍船都靠近可能入侵嘅航線因為海上上將軍擔心將會被德國空襲淹沒,不過，由於海軍上將擔心艦艇會俾德國嘅空襲擊沉，所以好少有皇家海軍艦艇會喺機會比較大嘅入侵路線附近駐紮,2,,
1385,1665,點解機構願意花時間經歷建立為學習型機構？將機構學習理念付諸實踐嘅目標之一就係創新,點解組織要通過建立學習組織嘅耗時過程？ 組織學習概念實踐嘅一個目標係創新,1,,
1367,1647,月球表面由岩石同塵埃組成。月球嘅外層被稱之為月殼,月球表面由岩石同塵埃成，月球嘅外層叫做皮質,1,,
1232,1415,義大利國家足球，同德國國家足球隊一齊係世界上第二個最成功嘅球隊,意大利國家隊同德國國家隊並列世界第二，亦曾經獲得 2006 年 FIFA 世界盃冠軍,2,,
327,329,喺佢同球隊一齊嘅時間，佢喺 468 場上打咗 403 球,期間，佢出場468次，攻入403球,2,,
186,188,8月9日晚間，摩拉科特嘅眼睛距离中國福建省約70公里,截至八月九號夜晚，莫拉克嘅風眼距離中國福建省大約七十公里,2,,
821,823,最好搵一間經常預訂同你嘅旅程類似嘅旅行社,請請一個經營者去幫你經常預訂類似你嘅旅行,1,,
939,941,當你熟悉咗網絡上嘅格式同編輯方法之後，你就可以建立自己嘅網站,當你開始喺網上編輯同編輯之後你就會開始建立你自己嘅網站,1,,
