,id,premise,hypothesis,label
0,743_non_ent,一個電單車司機過緊個坑。,駱駝騎手騎過個埞。,not_entailment
1,4019_non_ent,「我哋住喺中間，住喺洪都拉斯同薩爾瓦多嘅邊境之間。,「我哋住喺離洪都拉斯同薩爾瓦多幾千英里遠嘅地方。,not_entailment
2,2677_non_ent,兩個女人喺按摩浴缸裡面輕鬆吓。,兩個男人浸緊熱水浴。,not_entailment
3,585_ent,一個著住蘇格蘭裙嘅男人掟咗支長棍出嚟。,有個男人著住條裙。,entailment
4,3912_ent,「細路仔開始識講嘢嗰陣，佢哋最關心嘅係講人哋做咩嘢，同埋佢哋行為嘅後果。」,啲細路講嘢嗰陣，佢哋鍾意講吓人哋做嘅嘢。,entailment
5,3450_ent,對Miyares嚟講，搵份有意義又有效率嘅工好難。,「Miyares好難搵到一份令人滿足兼且收入豐厚嘅工。」,entailment
6,2228_ent,一個男人同一個女人企喺一棟白色建築物前面，望住自己隻手。,一個男人同一個女人喺一棟建築物前面望住佢哋嘅手。,entailment
7,1535_non_ent,一隻啡色嘅狗喺田野到狂奔。,隻狗喺窗外面吠緊。,not_entailment
8,5718_ent,但即使冇呢啲資料，佢都好肯定會明，93 號航班由紐華克機場延遲起飛，所以世貿中心嘅襲擊已經發生咗。,佢明嘅，93號航班由紐華克延遲起飛，意味住就算冇佢哋，襲擊都已經發生咗。,entailment
9,4256_ent,如果存貨持有成本越高，將更多生產轉移到快速生產線工廠就越有利可圖，從而減少在制品和製成品庫存。,生產可以轉移嚟操控盈利水平。,entailment
10,1575_ent,一個男人喺空曠嘅田野度試驗模型飛機。,有個男人試緊模型飛機。,entailment
11,1535_ent,一隻啡色嘅狗喺田野到狂奔。,隻狗跑緊步。 ,entailment
12,5712_non_ent,但係，將一個性別已知嘅人稱為主席係明顯荒謬嘅。「主席」應該係指主席嘅職位，而唔係指擔任呢個職位嘅人。,叫人做主席，即使我哋知道佢係男係女，都係啱嘅做法。,not_entailment
13,743_ent,一個電單車司機過緊個坑。,個電單車司機騎車過咗個坑。,entailment
14,4561_non_ent,「第三版未刪節詞典」入面嘅定義，比起嗰個嚟講簡潔明瞭好多。,呢個係呢個詞語第一次出現。,not_entailment
15,683_ent,一個女仔馬拉松跑手，戴住紅色頭帶，著住紅色背心同黑色短褲，喺一條鋪咗石屎嘅路上慢跑。,個女士著住紅黑色衫跑緊。 ,entailment
16,2284_non_ent,隻大隻白色嘅雀仔掠過水面。,隻雀仔困咗喺個細細個籠到。,not_entailment
17,1741_non_ent,一個後生，著得好靚嘅黑人，坐喺一套鼓後面，仲笑緊。,個男人裸體。,not_entailment
18,5340_ent,「因為，唉，唔係，依尼斯當時爭論緊話——當佢同佢講嘅時候，唔，佢話，嗯，路易斯·阿隆索，我可能就快死啦，佢話，因為失血太多，佢話。」,佢話佢可能要失血死咗。,entailment
19,960_ent,一個男人揸住電單車喺條爛路上面行，經過路邊幾架廢車。,有個男人揸緊電單車。,entailment
20,2899_non_ent,幾個後生靚仔企喺露台度，激烈咁傾緊計。,呢啲後生仔完全同意。,not_entailment
21,4650_non_ent,架飛機冇反應。,架飛機有反應啦。,not_entailment
22,2284_ent,隻大隻白色嘅雀仔掠過水面。,隻雀仔掂到水。,entailment
23,6176_ent,據報無人收到任何重大回應。,冇人話收到回覆。,entailment
24,6190_non_ent,省略號出現嘅地方，我無費事抄晒成個餐牌，淨係揀咗啲我覺得奇怪嘅嘢，因為選擇嘅不協調，或者係我無論點樣憑空想像，都估唔到佢哋點樣揀呢啲嘢出嚟。,呢啲選擇好合理，完全合乎邏輯。,not_entailment
25,1961_ent,有個男人喺度燒緊漢堡包。,個男人喺燒烤架隔離。,entailment
