Word	SpokenAdult
即係	2930
唔係	1818
跟住	1653
但係	1423
之後	1279
一個	1246
同埋	1122
覺得	1086
可以	1032
其實	1015
而家	953
中間	952
真係	872
因為	814
如果	782
下面	753
係咪	709
自己	707
咁樣	703
噉樣	681
應該	664
好似	607
上面	569
可能	566
開始	539
經過	459
或者	428
時候	420
唔好	419
所以	415
少少	412
譬如	390
已經	373
落去	329
然後	323
點解	317
沙漠	314
不過	301
穿過	297
問題	297
兩個	291
個人	284
終點	283
上去	270
哩個	254
點樣	250
有個	245
唔到	244
大家	239
邊個	232
一定	223
一路	217
成日	216
政府	211
香港	198
公司	195
茅屋	192
知道	186
過去	185
唔使	184
叫做	183
頭先	183
右邊	181
一直	178
一樣	177
方向	171
第一	170
鍾意	169
左邊	168
繼續	166
地方	165
地圖	164
時間	164
邊度	159
唔見	157
馬戲	157
兜過	157
個位	156
比較	155
冇乜	154
點鐘	154
朋友	154
交叉	153
出嚟	151
返去	150
開心	149
都會	147
需要	146
泳池	146
右面	146
左面	145
位置	144
幾多	144
機場	143
之間	141
啱啱	141
梗係	140
公園	131
隔離	129
屋企	128
葡萄	127
淨係	125
迷宮	124
車站	120
以前	119
係噉	119
差唔多	119
諗住	118
魚排	118
科技	117
另外	117
會見	114
條線	114
唔同	114
起點	111
希望	110
其他	110
滑雪	108
今日	108
等等	106
明白	106
定係	105
電話	105
根本	104
冇錯	104
原來	104
大概	103
工廠	102
同學	102
有時	100
之前	100
意思	100
仲有	99
感覺	98
一齊	98
大樹	98
本身	93
方面	92
扮汗	92
今次	91
不如	91
球場	90
多謝	89
社會	89
幾好	89
貧大宅	88
即刻	87
北方	86
金字塔	84
風車	84
礦場	83
當然	83
碼頭	83
先至	82
女仔	82
究竟	82
總之	81
情況	80
完全	80
瀑布	79
農莊	79
墳場	78
辛苦	78
出來	77
樹林	76
禮堂	76
你講	76
燈塔	75
畫到	75
首先	75
纜車	75
所謂	75
國旗	75
講呢	75
重有	74
全部	74
服務	73
清楚	72
得到	72
特別	72
虛線	70
就算	70
出去	69
唔記得	69
效果	69
打橫	68
文字	68
以為	68
通常	68
相信	67
杏堂	67
禮拜	67
行到	67
地盤	67
市場	66
我講	66
尚健	66
入去	64
出現	64
直情	64
條路線	63
裏邊	63
讀書	62
冇問題	62
右行	62
地標	61
男朋友	61
唔該	61
更加	61
水塘	61
一條	60
將來	60
提碑	60
工作	59
最後	59
電腦	58
能夠	58
肯定	58
一次	58
後尾	57
重要	57
信心	57
我話	56
成病	56
英文	56
男仔	55
今年	55
完成	55
犀利	54
樂園	54
任何	54
返來	54
記得	54
憂店	54
緊要	54
細個	53
國家	53
第二個	53
先生	53
左上	53
經濟	53
幾時	53
點啊	53
直接	53
叢林	52
我會	52
一係	52
突然	52
基本上	51
雖然	51
說話	51
大陸	51
打電話	51
成個	51
直線	50
上行	50
哩樣	50
自由	50
右上	48
世界	48
翻版	48
繞過	48
貨倉	48
理由	48
落到	48
發覺	48
返工	48
東方	48
影響	47
講到	47
法律	47
一種	47
未必	47
旅行	47
要求	47
關係	47
學生	47
考慮	46
會話	46
男人	46
電視	46
學校	46
唔夠	46
